0       <= x <     630; y_0     =        82.11 +     -0.000611x; Linear Approximation
0.0     <= x <    30.0; y_0     =        85.00 +     -0.500000x; Piecewise Interpolation
30.0    <= x <    60.0; y_1     =        70.00 +      0.000000x; Piecewise Interpolation
60.0    <= x <    90.0; y_2     =        28.00 +      0.700000x; Piecewise Interpolation
90.0    <= x <   120.0; y_3     =       103.00 +     -0.133333x; Piecewise Interpolation
120.0   <= x <   150.0; y_4     =        79.00 +      0.066667x; Piecewise Interpolation
150.0   <= x <   180.0; y_5     =        99.00 +     -0.066667x; Piecewise Interpolation
180.0   <= x <   210.0; y_6     =       117.00 +     -0.166667x; Piecewise Interpolation
210.0   <= x <   240.0; y_7     =       152.00 +     -0.333333x; Piecewise Interpolation
240.0   <= x <   270.0; y_8     =       -64.00 +      0.566667x; Piecewise Interpolation
270.0   <= x <   300.0; y_9     =       161.00 +     -0.266667x; Piecewise Interpolation
300.0   <= x <   330.0; y_10    =        -9.00 +      0.300000x; Piecewise Interpolation
330.0   <= x <   360.0; y_11    =       211.00 +     -0.366667x; Piecewise Interpolation
360.0   <= x <   390.0; y_12    =       187.00 +     -0.300000x; Piecewise Interpolation
390.0   <= x <   420.0; y_13    =        31.00 +      0.100000x; Piecewise Interpolation
420.0   <= x <   450.0; y_14    =      -123.00 +      0.466667x; Piecewise Interpolation
450.0   <= x <   480.0; y_15    =       117.00 +     -0.066667x; Piecewise Interpolation
480.0   <= x <   510.0; y_16    =       341.00 +     -0.533333x; Piecewise Interpolation
510.0   <= x <   540.0; y_17    =        52.00 +      0.033333x; Piecewise Interpolation
540.0   <= x <   570.0; y_18    =       106.00 +     -0.066667x; Piecewise Interpolation
570.0   <= x <   600.0; y_19    =       -46.00 +      0.200000x; Piecewise Interpolation
600.0   <= x <   630.0; y_20    =       194.00 +     -0.200000x; Piecewise Interpolation
630.0   <= x <   660.0; y_21    =       -16.00 +      0.133333x; Piecewise Interpolation
660.0   <= x <   690.0; y_22    =      -324.00 +      0.600000x; Piecewise Interpolation
690.0   <= x <   720.0; y_23    =       527.00 +     -0.633333x; Piecewise Interpolation
720.0   <= x <   750.0; y_24    =      -313.00 +      0.533333x; Piecewise Interpolation
750.0   <= x <   780.0; y_25    =       462.00 +     -0.500000x; Piecewise Interpolation
780.0   <= x <   810.0; y_26    =      -292.00 +      0.466667x; Piecewise Interpolation
810.0   <= x <   840.0; y_27    =       437.00 +     -0.433333x; Piecewise Interpolation
840.0   <= x <   870.0; y_28    =      -319.00 +      0.466667x; Piecewise Interpolation
870.0   <= x <   900.0; y_29    =       319.00 +     -0.266667x; Piecewise Interpolation
900.0   <= x <   930.0; y_30    =      -131.00 +      0.233333x; Piecewise Interpolation
930.0   <= x <   960.0; y_31    =       179.00 +     -0.100000x; Piecewise Interpolation
960.0   <= x <   990.0; y_32    =       531.00 +     -0.466667x; Piecewise Interpolation
990.0   <= x <  1020.0; y_33    =      -327.00 +      0.400000x; Piecewise Interpolation
1020.0  <= x <  1050.0; y_34    =       455.00 +     -0.366667x; Piecewise Interpolation
1050.0  <= x <  1080.0; y_35    =         0.00 +      0.066667x; Piecewise Interpolation
1080.0  <= x <  1110.0; y_36    =       144.00 +     -0.066667x; Piecewise Interpolation
1110.0  <= x <  1140.0; y_37    =      -152.00 +      0.200000x; Piecewise Interpolation
1140.0  <= x <  1170.0; y_38    =      -266.00 +      0.300000x; Piecewise Interpolation
1170.0  <= x <  1200.0; y_39    =       475.00 +     -0.333333x; Piecewise Interpolation
1200.0  <= x <  1230.0; y_40    =       315.00 +     -0.200000x; Piecewise Interpolation
1230.0  <= x <  1260.0; y_41    =      -382.00 +      0.366667x; Piecewise Interpolation
1260.0  <= x <  1290.0; y_42    =       458.00 +     -0.300000x; Piecewise Interpolation
1290.0  <= x <  1320.0; y_43    =      -144.00 +      0.166667x; Piecewise Interpolation
1320.0  <= x <  1350.0; y_44    =      -408.00 +      0.366667x; Piecewise Interpolation
1350.0  <= x <  1380.0; y_45    =        87.00 +      0.000000x; Piecewise Interpolation
1380.0  <= x <  1410.0; y_46    =      -189.00 +      0.200000x; Piecewise Interpolation
1410.0  <= x <  1440.0; y_47    =       281.00 +     -0.133333x; Piecewise Interpolation
1440.0  <= x <  1470.0; y_48    =       233.00 +     -0.100000x; Piecewise Interpolation
1470.0  <= x <  1500.0; y_49    =       429.00 +     -0.233333x; Piecewise Interpolation
1500.0  <= x <  1530.0; y_50    =       729.00 +     -0.433333x; Piecewise Interpolation
1530.0  <= x <  1560.0; y_51    =      -138.00 +      0.133333x; Piecewise Interpolation
1560.0  <= x <  1590.0; y_52    =       174.00 +     -0.066667x; Piecewise Interpolation
1590.0  <= x <  1620.0; y_53    =      -674.00 +      0.466667x; Piecewise Interpolation
1620.0  <= x <  1650.0; y_54    =       730.00 +     -0.400000x; Piecewise Interpolation
1650.0  <= x <  1680.0; y_55    =       180.00 +     -0.066667x; Piecewise Interpolation
1680.0  <= x <  1710.0; y_56    =       -44.00 +      0.066667x; Piecewise Interpolation
1710.0  <= x <  1740.0; y_57    =       127.00 +     -0.033333x; Piecewise Interpolation
1740.0  <= x <  1770.0; y_58    =        11.00 +      0.033333x; Piecewise Interpolation
1770.0  <= x <  1800.0; y_59    =       129.00 +     -0.033333x; Piecewise Interpolation
1800.0  <= x <  1830.0; y_60    =     -1071.00 +      0.633333x; Piecewise Interpolation
1830.0  <= x <  1860.0; y_61    =      1552.00 +     -0.800000x; Piecewise Interpolation
1860.0  <= x <  1890.0; y_62    =      -246.00 +      0.166667x; Piecewise Interpolation
1890.0  <= x <  1920.0; y_63    =     -1380.00 +      0.766667x; Piecewise Interpolation
1920.0  <= x <  1950.0; y_64    =      1500.00 +     -0.733333x; Piecewise Interpolation
1950.0  <= x <  1980.0; y_65    =     -1360.00 +      0.733333x; Piecewise Interpolation
1980.0  <= x <  2010.0; y_66    =       422.00 +     -0.166667x; Piecewise Interpolation
2010.0  <= x <  2040.0; y_67    =        20.00 +      0.033333x; Piecewise Interpolation
2040.0  <= x <  2070.0; y_68    =      1312.00 +     -0.600000x; Piecewise Interpolation
2070.0  <= x <  2100.0; y_69    =       277.00 +     -0.100000x; Piecewise Interpolation
2100.0  <= x <  2130.0; y_70    =        67.00 +      0.000000x; Piecewise Interpolation
2130.0  <= x <  2160.0; y_71    =      -146.00 +      0.100000x; Piecewise Interpolation
2160.0  <= x <  2190.0; y_72    =       142.00 +     -0.033333x; Piecewise Interpolation
2190.0  <= x <  2220.0; y_73    =     -1318.00 +      0.633333x; Piecewise Interpolation
2220.0  <= x <  2250.0; y_74    =        88.00 +      0.000000x; Piecewise Interpolation
2250.0  <= x <  2280.0; y_75    =      1588.00 +     -0.666667x; Piecewise Interpolation
2280.0  <= x <  2310.0; y_76    =        -8.00 +      0.033333x; Piecewise Interpolation
2310.0  <= x <  2340.0; y_77    =       223.00 +     -0.066667x; Piecewise Interpolation
2340.0  <= x <  2370.0; y_78    =      -947.00 +      0.433333x; Piecewise Interpolation
2370.0  <= x <  2400.0; y_79    =      -394.00 +      0.200000x; Piecewise Interpolation
2400.0  <= x <  2430.0; y_80    =      1286.00 +     -0.500000x; Piecewise Interpolation
2430.0  <= x <  2460.0; y_81    =     -1306.00 +      0.566667x; Piecewise Interpolation
2460.0  <= x <  2490.0; y_82    =       170.00 +     -0.033333x; Piecewise Interpolation
