0.0     <= x <    60.0; y_0     =   85.0 + -0.625000x  +       0.000000x^2  +  0.000035x^3; Cubic Spline
30.0    <= x <    90.0; y_1     =   70.0 +  0.175000x  +       0.000000x^2  + -0.000049x^3; Cubic Spline
60.0    <= x <   120.0; y_2     =   70.0 +  0.841667x  +       0.000000x^2  + -0.000039x^3; Cubic Spline
90.0    <= x <   150.0; y_3     =   91.0 + -0.150000x  +       0.000000x^2  +  0.000005x^3; Cubic Spline
120.0   <= x <   180.0; y_4     =   87.0 +  0.066667x  +      -0.000000x^2  +  0.000000x^3; Cubic Spline
150.0   <= x <   210.0; y_5     =   89.0 + -0.125000x  +      -0.000000x^2  +  0.000016x^3; Cubic Spline
180.0   <= x <   240.0; y_6     =   87.0 + -0.291667x  +       0.000000x^2  +  0.000035x^3; Cubic Spline
210.0   <= x <   270.0; y_7     =   82.0 + -0.275000x  +       0.000000x^2  + -0.000016x^3; Cubic Spline
240.0   <= x <   300.0; y_8     =   72.0 +  0.641667x  +      -0.000000x^2  + -0.000021x^3; Cubic Spline
270.0   <= x <   330.0; y_9     =   89.0 + -0.258333x  +       0.000000x^2  + -0.000002x^3; Cubic Spline
300.0   <= x <   360.0; y_10    =   81.0 +  0.283333x  +       0.000000x^2  +  0.000005x^3; Cubic Spline
330.0   <= x <   390.0; y_11    =   90.0 + -0.533333x  +       0.000000x^2  +  0.000046x^3; Cubic Spline
360.0   <= x <   420.0; y_12    =   79.0 + -0.350000x  +      -0.000000x^2  +  0.000014x^3; Cubic Spline
390.0   <= x <   450.0; y_13    =   70.0 +  0.241667x  +       0.000000x^2  + -0.000039x^3; Cubic Spline
420.0   <= x <   480.0; y_14    =   73.0 +  0.566667x  +       0.000000x^2  + -0.000028x^3; Cubic Spline
450.0   <= x <   510.0; y_15    =   87.0 + -0.216667x  +       0.000000x^2  +  0.000042x^3; Cubic Spline
480.0   <= x <   540.0; y_16    =   85.0 + -0.658333x  +       0.000000x^2  +  0.000035x^3; Cubic Spline
510.0   <= x <   570.0; y_17    =   69.0 +  0.025000x  +      -0.000000x^2  +  0.000002x^3; Cubic Spline
540.0   <= x <   600.0; y_18    =   70.0 + -0.033333x  +       0.000000x^2  + -0.000009x^3; Cubic Spline
570.0   <= x <   630.0; y_19    =   68.0 +  0.200000x  +      -0.000000x^2  +  0.000000x^3; Cubic Spline
600.0   <= x <   660.0; y_20    =   74.0 + -0.216667x  +       0.000000x^2  +  0.000005x^3; Cubic Spline
630.0   <= x <   690.0; y_21    =   68.0 +  0.316667x  +       0.000000x^2  + -0.000051x^3; Cubic Spline
660.0   <= x <   720.0; y_22    =   72.0 +  0.591667x  +      -0.000000x^2  +  0.000002x^3; Cubic Spline
690.0   <= x <   750.0; y_23    =   90.0 + -0.658333x  +       0.000000x^2  +  0.000007x^3; Cubic Spline
720.0   <= x <   780.0; y_24    =   71.0 +  0.541667x  +      -0.000000x^2  + -0.000002x^3; Cubic Spline
750.0   <= x <   810.0; y_25    =   87.0 + -0.508333x  +       0.000000x^2  +  0.000002x^3; Cubic Spline
780.0   <= x <   840.0; y_26    =   72.0 +  0.475000x  +       0.000000x^2  + -0.000002x^3; Cubic Spline
810.0   <= x <   870.0; y_27    =   86.0 + -0.425000x  +       0.000000x^2  + -0.000002x^3; Cubic Spline
840.0   <= x <   900.0; y_28    =   73.0 +  0.516667x  +       0.000000x^2  + -0.000014x^3; Cubic Spline
870.0   <= x <   930.0; y_29    =   87.0 + -0.275000x  +       0.000000x^2  +  0.000002x^3; Cubic Spline
900.0   <= x <   960.0; y_30    =   79.0 +  0.266667x  +       0.000000x^2  + -0.000009x^3; Cubic Spline
930.0   <= x <   990.0; y_31    =   86.0 + -0.241667x  +       0.000000x^2  +  0.000039x^3; Cubic Spline
960.0   <= x <  1020.0; y_32    =   83.0 + -0.483333x  +      -0.000000x^2  +  0.000005x^3; Cubic Spline
990.0   <= x <  1050.0; y_33    =   69.0 +  0.408333x  +      -0.000000x^2  + -0.000002x^3; Cubic Spline
1020.0  <= x <  1080.0; y_34    =   81.0 + -0.441667x  +      -0.000000x^2  +  0.000021x^3; Cubic Spline
1050.0  <= x <  1110.0; y_35    =   70.0 +  0.066667x  +      -0.000000x^2  +  0.000000x^3; Cubic Spline
1080.0  <= x <  1140.0; y_36    =   72.0 + -0.033333x  +       0.000000x^2  + -0.000009x^3; Cubic Spline
1110.0  <= x <  1170.0; y_37    =   70.0 +  0.325000x  +       0.000000x^2  + -0.000035x^3; Cubic Spline
1140.0  <= x <  1200.0; y_38    =   76.0 +  0.291667x  +      -0.000000x^2  +  0.000002x^3; Cubic Spline
1170.0  <= x <  1230.0; y_39    =   85.0 + -0.466667x  +       0.000000x^2  +  0.000037x^3; Cubic Spline
1200.0  <= x <  1260.0; y_40    =   75.0 + -0.158333x  +       0.000000x^2  + -0.000012x^3; Cubic Spline
1230.0  <= x <  1290.0; y_41    =   69.0 +  0.383333x  +       0.000000x^2  + -0.000005x^3; Cubic Spline
1260.0  <= x <  1320.0; y_42    =   80.0 + -0.333333x  +       0.000000x^2  +  0.000009x^3; Cubic Spline
1290.0  <= x <  1350.0; y_43    =   71.0 +  0.300000x  +      -0.000000x^2  + -0.000037x^3; Cubic Spline
1320.0  <= x <  1380.0; y_44    =   76.0 +  0.458333x  +       0.000000x^2  + -0.000025x^3; Cubic Spline
1350.0  <= x <  1410.0; y_45    =   87.0 +  0.050000x  +      -0.000000x^2  + -0.000014x^3; Cubic Spline
1380.0  <= x <  1440.0; y_46    =   87.0 +  0.216667x  +      -0.000000x^2  + -0.000005x^3; Cubic Spline
1410.0  <= x <  1470.0; y_47    =   93.0 + -0.191667x  +       0.000000x^2  +  0.000016x^3; Cubic Spline
1440.0  <= x <  1500.0; y_48    =   89.0 + -0.183333x  +      -0.000000x^2  +  0.000023x^3; Cubic Spline
1470.0  <= x <  1530.0; y_49    =   86.0 + -0.400000x  +      -0.000000x^2  +  0.000046x^3; Cubic Spline
1500.0  <= x <  1560.0; y_50    =   79.0 + -0.508333x  +      -0.000000x^2  +  0.000021x^3; Cubic Spline
1530.0  <= x <  1590.0; y_51    =   66.0 +  0.150000x  +       0.000000x^2  + -0.000005x^3; Cubic Spline
